Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
G,Patrick Reed,11200,Golf@Golf 11:30AM ET,86.333,Golf
G,Phil Mickelson,10800,Golf@Golf 11:30AM ET,0,Golf
G,Bill Haas,10500,Golf@Golf 11:30AM ET,91.5,Golf
G,Francesco Molinari,10300,Golf@Golf 11:30AM ET,0,Golf
G,Zach Johnson,10200,Golf@Golf 11:30AM ET,96.5,Golf
G,Paul Casey,10000,Golf@Golf 11:30AM ET,30,Golf
G,Charles Howell,9900,Golf@Golf 11:30AM ET,99,Golf
G,Emiliano Grillo,9800,Golf@Golf 11:30AM ET,61,Golf
G,Jon Rahm,9700,Golf@Golf 11:30AM ET,0,Golf
G,Jamie Lovemark,9600,Golf@Golf 11:30AM ET,119,Golf
G,Russell Henley,9500,Golf@Golf 11:30AM ET,91.5,Golf
G,Brendan Steele,9300,Golf@Golf 11:30AM ET,100,Golf
G,Jason Dufner,9200,Golf@Golf 11:30AM ET,64.25,Golf
G,Kevin Kisner,8900,Golf@Golf 11:30AM ET,116,Golf
G,Kevin Na,8800,Golf@Golf 11:30AM ET,95.5,Golf
G,Chris Kirk,8700,Golf@Golf 11:30AM ET,25,Golf
G,Luke List,8600,Golf@Golf 11:30AM ET,99,Golf
G,Charley Hoffman,8500,Golf@Golf 11:30AM ET,90,Golf
G,Scott Piercy,8300,Golf@Golf 11:30AM ET,73.5,Golf
G,Webb Simpson,8200,Golf@Golf 11:30AM ET,93,Golf
G,Kevin Streelman,8100,Golf@Golf 11:30AM ET,0,Golf
G,Ryan Palmer,8000,Golf@Golf 11:30AM ET,31.5,Golf
G,Hudson Swafford,7900,Golf@Golf 11:30AM ET,89,Golf
G,Martin Laird,7800,Golf@Golf 11:30AM ET,0,Golf
G,Lucas Glover,7700,Golf@Golf 11:30AM ET,0,Golf
G,Brian Harman,7600,Golf@Golf 11:30AM ET,86.5,Golf
G,Chez Reavie,7500,Golf@Golf 11:30AM ET,111.5,Golf
G,Adam Hadwin,7500,Golf@Golf 11:30AM ET,0,Golf
G,Keegan Bradley,7400,Golf@Golf 11:30AM ET,28,Golf
G,William McGirt,7400,Golf@Golf 11:30AM ET,86.75,Golf
G,David Lingmerth,7300,Golf@Golf 11:30AM ET,76,Golf
G,Sean O'Hair,7300,Golf@Golf 11:30AM ET,95.5,Golf
G,Harold Varner,7200,Golf@Golf 11:30AM ET,86.25,Golf
G,Stewart Cink,7200,Golf@Golf 11:30AM ET,78,Golf
G,Shawn Stefani,7100,Golf@Golf 11:30AM ET,75,Golf
G,Blayne Barber,7100,Golf@Golf 11:30AM ET,0,Golf
G,Brandon Stone,7000,Golf@Golf 11:30AM ET,115.25,Golf
G,Anirban Lahiri,7000,Golf@Golf 11:30AM ET,28.5,Golf
G,Soren Kjeldsen,7000,Golf@Golf 11:30AM ET,31,Golf
G,John Huh,7000,Golf@Golf 11:30AM ET,81,Golf
G,Cameron Smith,7000,Golf@Golf 11:30AM ET,86.5,Golf
G,Grayson Murray,7000,Golf@Golf 11:30AM ET,0,Golf
G,Roberto Castro,7000,Golf@Golf 11:30AM ET,0,Golf
G,Ollie Schniederjans,6900,Golf@Golf 11:30AM ET,75.5,Golf
G,Brian Stuard,6900,Golf@Golf 11:30AM ET,76,Golf
G,Graham DeLaet,6900,Golf@Golf 11:30AM ET,0,Golf
G,Jhonattan Vegas,6900,Golf@Golf 11:30AM ET,67.5,Golf
G,Smylie Kaufman,6900,Golf@Golf 11:30AM ET,37.5,Golf
G,Michael Kim,6900,Golf@Golf 11:30AM ET,92,Golf
G,Aaron Baddeley,6900,Golf@Golf 11:30AM ET,69,Golf
G,Geoff Ogilvy,6900,Golf@Golf 11:30AM ET,0,Golf
G,Bryson DeChambeau,6800,Golf@Golf 11:30AM ET,80.5,Golf
G,Ryo Ishikawa,6800,Golf@Golf 11:30AM ET,0,Golf
G,John Peterson,6800,Golf@Golf 11:30AM ET,27.5,Golf
G,Robert Garrigus,6800,Golf@Golf 11:30AM ET,0,Golf
G,Henrik Norlander,6800,Golf@Golf 11:30AM ET,96,Golf
G,Alex Cejka,6800,Golf@Golf 11:30AM ET,0,Golf
G,Camilo Villegas,6800,Golf@Golf 11:30AM ET,35.5,Golf
G,Bryce Molder,6800,Golf@Golf 11:30AM ET,88.5,Golf
G,Patton Kizzire,6700,Golf@Golf 11:30AM ET,0,Golf
